student_num,level,participation,midterm,pe,final,total,faculty,is_afast
A0000539R,52,3.5,45,13,54,65.60,FOS,nil
A0000077X,46,3,20,20,37,54.80,FOS,nil
A0001146B,50,3,38.5,13.5,54,64.05,FOS,no
A0000620J,43,2,42,19.5,42.5,58.65,FOS,no
A0001609U,51,3.5,36,11,40,57.20,FOS,nil
A0001491W,51,3,40,19.5,54.5,67.55,SOC,no
A0002110R,49,3.5,22,10,52,58.20,FOS,nil
A0001418X,50,3.5,46.5,19.5,60.5,71.75,SOC,no
A0000048B,48,3,26,14,38.5,54.60,FOS,yes
A0001392W,27,2,43,,,24.10,FOS,yes
A0000867J,55,3,50,17,86,80.90,FASS,no
A0001863N,48,3,59,9.5,64.5,69.35,SOC,no
A0000121R,32,3,28.5,7.5,32,41.25,FOS,no
A0001906U,45,0,32,,,28.90,SDE,yes
A0002199J,53,3.5,62,27,75,84.40,FOS,nil
A0001188N,50,3.5,47,25,59,74.00,FOS,nil
A0001835R,52,3.5,49,18,60,71.30,FOS,nil
A0001793L,47,2.5,52,25,68,76.10,FOS,nil
A0000758L,52,4,30,15,45.5,60.70,FOS,no
A0000016L,50,4.5,25.5,16,39.5,58.40,SOC,no
A0000343E,49,2.5,49,16.5,58,68.25,SOC,no
A0000432H,57,3,71,25.5,91.5,91.55,FOS,no
A0001683N,52,3,32,14,44,59.00,FOS,no
A0000149X,50,3.5,24,15,55,62.80,FOS,nil
A0000429W,36,3,12,1,22,32.70,SOC,nil
A0000345B,51,3.5,47,17,69,74.00,SOC,no
A0001247X,54,4,40.5,29.5,72.5,80.85,SOC,no
A0000047A,49,3.5,53,20,73,77.80,FOS,nil
A0000925U,55,3,68,28,93,92.80,,nil
A0001125H,54,3.5,47,24,80.5,82.10,FOS,nil
A0000755R,52,3.5,36,19,55,67.20,SOC,nil
A0001829L,38,0,,,,19.00,FOS,no
A0001512H,53,3,60,28.5,60.5,78.45,SOC,no
A0000940Y,51,3.5,73,27,67,83.40,FOS,nil
A0001598E,43,1.5,34,12,,35.80,FOS,nil
A0001162E,49,3,37,5,55,59.40,BIZ,nil
A0000547U,50,5,62,22,76.5,84.00,SOC,nil
A0001656N,55,4,56.5,29.5,71.5,83.65,FOS,no
A0001080H,49,3,48,19,64.5,72.40,FOS,no
A0000098R,47,3,31,14.5,50,59.95,FOS,yes
A0001423E,52,3.5,49,16,62.5,71.30,FOS,nil
A0001307A,51,4,44,21,53.5,69.70,SOC,no
A0000114M,52,2.5,45,18,65.5,71.70,SOC,no
A0001114L,44,3.5,23,9,34,48.20,BIZ,nil
A0002097N,51,3,11,6,17,40.00,FOS,nil
A0000489J,46,2.5,31,13,52,59.00,FOS,nil
A0000745U,51,3.5,38,20,67,72.90,FOS,nil
A0001775L,52,2.5,42,18,45.5,63.10,FOS,no
A0000885J,46,3,31,15.5,37.5,54.95,FOS,yes
A0000000Y,56,4.5,64,23.5,85.5,88.25,SOC,no
A0000395R,41,3,28.5,,,29.20,FOS,yes
A0001852U,46,3,53,23,,48.10,BIZ,nil
A0000002W,50,3.5,43,11,39,58.20,SOC,nil
A0000492W,52,3.5,70,19,87,86.80,,no
A0000147B,52,2.5,38,25,73,76.80,,nil
A0000663W,51,3.5,34.5,13,50,61.90,FOS,no
A0002228X,51,3.5,40,22,69,75.10,FOS,nil
A0001641B,49,2,35,7,,37.00,FOS,yes
A0000093B,49,3.5,59.5,14.5,62.5,72.15,SOC,no
A0001921Y,46,3,15,2,44,47.60,FOS,nil
A0002016H,50,2,18,4,48,51.80,FOS,yes
A0000643Y,51,3.5,33,3.5,30,48.85,,yes
A0000180H,51,3,47,16.5,61.5,70.25,,no
A0001073A,52,4,49,20.5,86,83.45,SOC,no
A0000235E,52,3.5,44,17.5,73.5,75.45,SOC,no
A0000687J,48,3,26,15.5,58,63.15,FOS,no
A0001374W,38,2.5,27,10.5,32.5,45.15,FOS,no
A0000506A,51,3.5,38.5,14.5,48.5,62.85,FOS,no
A0000387N,51,2.5,54,21.5,80.5,81.25,SOC,no
A0000602J,53,5,48,17,65,74.10,FOS,nil
A0001433A,50,3.5,25,8,42,54.30,FOS,nil
A0001364X,50,3,45,13.5,64.5,69.55,FOS,no
A0001432E,52,2.5,66,19,77.5,81.20,,no
A0000661Y,49,3.5,48,22,68,75.80,FOS,nil
A0002071E,55,4.5,41,23,79,80.80,FOS,nil
A0000037E,50,3,56,22,76,80.60,FOS,nil
A0001899X,52,3.5,57,20,64,75.50,SOC,no
A0001039Y,51,4,28,25,77.5,78.10,FOS,no
A0001514A,47,4,15,,,30.50,FOS,yes
A0001873M,50,2.5,35,12,51,60.90,FOS,nil
A0001389J,53,3,47,25,78,81.10,FOS,nil
A0001089N,51,3,43,13,79,74.70,SOC,no
A0002034H,50,4.5,24,7,41,54.20,FOS,no
A0000255B,50,3,52,17,61.5,71.50,FOS,nil
A0001128B,50,3,58,21.5,73,79.55,FOS,no
A0001590W,49,3.5,28,5,37,50.90,FOS,nil
A0000616Y,50,3.5,39,14.5,61.5,68.15,FOS,no
A0000892M,40,3,10.5,13.5,37.5,46.85,FOS,no
A0000717W,50,3,52,18,53.5,68.80,SOC,no
A0001211N,53,3,65,23,85,86.50,FOS,no
A0001105L,57,5,50,23,80,83.50,FOS,nil
A0001855M,51,3.5,21,18,54,63.30,FOS,nil
A0001965J,42,3,20,6,38,46.20,SOC,nil
A0001754R,52,3.5,60,27,61.5,78.60,SOC,nil
A0001977A,53,3,66,28,86,89.60,FOS,nil
A0001645U,50,3.5,33,15,69.5,70.40,SOC,no
A0001829L,39,1.5,11,3,,24.70,FOS,nil
A0001103N,45,1.5,22.5,,40,44.50,SOC,yes
A0000290A,33,3,16,3,33,37.40,FOS,nil
A0001721A,50,4.5,21,4.5,50,55.95,FOS,no
A0001309Y,50,3,29,13,55,62.30,FASS,nil
A0001924U,50,2.5,25,16.5,58.5,64.15,SOC,no
A0001744U,49,3.5,33,19,59,67.70,FOS,nil
A0000229Y,53,3,48,10,58.5,66.00,FOS,no
A0002062E,50,3.5,23,12,57,61.90,FOS,nil
A0001799Y,50,3,34,9,35,53.30,FOS,nil
A0001567M,25,1.5,,,,14.00,FOS,nil
A0001204L,44,2.5,36,16,57,62.50,FOS,nil
A0000561B,53,3.5,36,25.5,68,75.65,FOS,no
A0000277U,50,4,48,16,67.5,73.60,SOC,no
A0000240M,54,3.5,52,25,71,79.80,FOS,nil
A0001369M,52,3.5,43.5,18,73.5,75.60,SOC,no
A0000690W,46,2,22,14,28,47.60,FOS,nil
A0000046E,53,3,57,30,78,85.60,FOS,nil
A0001160J,32,0.5,17,,,19.90,SOC,yes
A0001548N,50,3,44,16,49,64.40,SOC,nil
A0001717U,50,3,41,24,60,72.20,FOS,nil
A0000700L,50,2.5,44,23,56,70.20,FOS,nil
A0000075B,41,0.5,49.5,26.5,81.5,76.75,NUSHS,no
A0002013M,51,3.5,48,21,68,75.80,FOS,nil
A0000264B,50,3,47,23,57,71.70,SOC,nil
A0000853U,47,3,21,13,42,54.00,FOS,nil
A0000953R,48,3,31,17,45,59.70,FOS,nil
A0001256X,52,3.5,73,26,85,90.10,SOC,no
A0001884J,50,3.5,37,18,60,68.90,FOS,no
A0000382Y,54,3,56,20,84,82.80,FASS,no
A0000715Y,49,3,56,26,68.5,79.10,SOC,nil
A0000541E,51,4,55.5,28.5,77.5,85.35,FOS,no
A0001047B,53,0.5,46,20.5,79.5,76.75,SOC,no
A0000926R,50,3,42,5.5,48.5,58.55,FOS,no
A0000692R,48,2,40,14,48.5,60.40,FOS,no
A0000651B,51,3,54,23,65,76.30,SOC,nil
A0001467N,51,3,45,21,44,65.10,SOC,nil
A0000108H,50,4,54,28.5,88.5,89.45,SOC,no
A0001709R,53,3.5,51,25,85,85.20,FOS,nil
A0002143E,52,3.5,41,24,61,73.10,SOC,nil
A0002029Y,49,3,41,18,51,65.10,FOS,no
A0001557N,51,3,54,15,75,76.30,FOS,no
A0002104L,49,3.5,27,16.5,58.5,65.05,FOS,no
A0001781R,50,3.5,41.5,15,50,64.30,SOC,no
A0000073E,46,4.5,30,9,37,52.80,SOC,yes
A0001668J,50,4,40,24,76,79.40,FOS,nil
A0001371B,48,3.5,40,7,54,60.60,BIZ,nil
A0000559M,49,3.5,39,27,62,74.10,FOS,nil
A0000260J,50,3,48,13,38,59.30,FOS,no
A0000439U,50,4,40,17,79,77.10,FOS,nil
A0001722B,50,4,37.5,26.5,52,70.55,FOS,no
A0002098M,50,4,64,18,73.5,80.20,FOS,no
A0001777H,8,0,,,,4.00,BIZ,yes
A0000309B,49,3,36,16,66.5,69.30,SOC,no
A0001152H,50,3.5,32,3.5,,36.65,FOS,yes
A0000601L,50,3,57,17,74,77.50,FOS,nil
A0001000X,49,2.5,51,24,64,74.80,FOS,nil
A0000436Y,52,3,52.5,19.5,61.5,72.85,FOS,no
A0000092A,52,3.5,44,18.5,57.5,69.55,FOS,no
A0000640E,54,3,57,25,69,79.50,FOS,nil
A0001876H,48,3.5,46,25,60,73.20,SOC,nil
A0001336Y,45,3,27,16.5,55.5,61.35,SOC,no
A0000607Y,51,3.5,32.5,20.5,,45.25,SOC,yes
A0000662X,51,3.5,34.5,19,57.5,67.90,FOS,no
A0000500N,50,3.5,23,10,50,58.10,FOS,nil
A0000765N,54,3,59,26,88.5,88.20,SOC,no
A0000420M,53,3.5,62,23.5,82,85.45,SOC,no
A0000155A,50,3.5,34.5,13.5,50.5,62.35,FOS,no
A0000443A,51,3.5,40.5,29.5,78,82.55,FOS,no
A0000368R,54,3.5,69,28,87,91.10,,nil
A0000760Y,50,2.5,19,17,49,59.40,FOS,nil
A0001016J,54,3,67,23,77,83.70,FOS,nil
A0001585M,54,4,40,17,53,66.70,FOS,nil
A0000906W,50,3.5,29,7,45.5,56.00,FASS,no
A0000228B,50,3.5,15,15,40.5,55.20,FOS,no
A0000376U,50,3.5,40.5,11.5,56,64.75,FOS,no
A0000088U,46,4.5,28.5,,,33.20,FOS,no
A0001282Y,50,3,41,19,42,62.50,FOS,no
A0002084X,51,3.5,46.5,28,73.5,81.20,SOC,no
A0000725X,51,3.5,22,16,54.5,62.70,SOC,no
A0001166X,38,3,11,6,14,32.80,,nil
A0002117A,50,3,16,27,62.5,69.70,SOC,no
A0001873M,39,1,24,5,25,37.80,FOS,nil
A0001194W,54,3.5,60,26.5,70,81.75,FOS,no
A0000522H,47,3.5,15,12,54,57.60,FASS,nil
A0000206J,51,3.5,55.5,30,57.5,77.60,SOC,no
A0001222L,51,5,15,0,23,42.20,FOS,nil
A0001271A,50,3.5,55.5,28.5,72.5,82.85,FOS,no
A0000516B,53,3.5,55.5,27,79.5,84.90,FOS,no
A0000844U,54,3.5,42,23,61.5,73.00,FOS,nil
A0000783N,49,3.5,12,11,30,47.90,FOS,nil
A0001657M,50,0.5,47,20,73.5,74.30,FOS,no
A0000458R,52,3,40,15.5,75.5,73.95,SOC,no
A0000341J,12,0,20,,,10.00,FOS,yes
A0002136B,47,2,35,20,45,60.50,FOS,nil
A0000421L,50,3.5,36,13,61,66.60,FOS,nil
A0001264Y,50,3.5,40.5,28.5,76,81.25,SOC,no
A0001908N,52,2.5,41,22,57,69.50,FOS,nil
A0000951W,51,4,27,25.5,53.5,68.55,SOC,no
A0000377R,53,4,36,30,60,75.20,FOS,no
A0001950W,42,3,26,8,44,50.80,SOC,nil
A0001304J,54,2.5,59,25,86,86.20,FOS,nil
A0000327B,52,3.5,39,16,56,66.70,FASS,nil
A0000198N,50,3,44,18,62.5,70.80,FOS,no
A0000478M,50,3.5,24,13.5,30.5,52.25,FOS,yes
A0000044J,46,1.5,57,16,57,66.70,SOC,no
A0001747M,50,3.5,50.5,30,81.5,86.20,FOS,no
A0002058W,50,3.5,34,8.5,51.5,60.15,FOS,no
A0000600M,51,3.5,43,17.5,61,70.25,SOC,no
A0002148W,42,1,31.5,4.5,35.5,44.75,FOS,yes
A0000007L,51,3.5,48,23,67,76.40,FOS,nil
A0001206H,51,3.5,35,10.5,56,63.15,FOS,no
A0002209Y,50,0.5,33,22.5,48.5,62.75,SOC,no
A0002141J,50,4,42,24,64,75.00,SOC,no
A0000118E,50,4,33,14.5,56,65.25,FOS,no
A0000555W,50,4,49.5,21,63.5,74.80,SOC,no
A0000989Y,55,3.5,70,27,88,91.20,FOS,no
A0000869E,47,3.5,40,8,54.5,60.80,FOS,no
A0001465U,50,3,30,6,54,58.60,FOS,nil
A0000398L,47,3,55,23,63,74.20,FOS,nil
A0000084B,51,4,52,20,72,78.20,SOC,no
A0001421J,50,3,42,24,76,78.80,SOC,nil
A0001892L,56,5,66,26,87,91.00,SOC,nil
A0001642Y,52,3.5,48,23.5,52,70.65,FOS,no
A0000101W,42,3,14.5,3,22.5,37.40,FOS,yes
A0001017H,48,2.5,33,12.5,65.5,65.55,SOC,no
A0001610J,51,3.5,38,10,68,68.30,FOS,nil
A0000307E,51,3.5,24,7,32,49.60,FOS,nil
A0000159W,51,3,47,20,73.5,76.80,SOC,no
A0002183X,52,4,47.5,28,73.5,81.90,FOS,no
A0001540E,50,3,24,28,67.5,73.80,SOC,no
A0000178U,36,1.5,33,,,26.10,FOS,yes
A0000711H,50,2.5,56,19,69.5,76.00,SOC,no
A0002059U,49,3.5,37.5,10,40.5,56.70,FOS,yes
A0000753W,50,3,28.5,14.5,,40.95,FOS,yes
A0001238X,53,3.5,50,22.5,75.5,79.95,FOS,no
A0001149W,50,3,62,14,64,73.00,SOC,no
A0000805Y,56,3.5,61,27,87.5,89.20,FOS,no
A0001500M,49,2,4,6,32,43.10,FOS,nil
A0001877E,50,4,34.5,16,43.5,61.30,FOS,no
A0000456W,54,3.5,46,28,68.5,79.10,FOS,no
A0002047Y,51,3.5,41,18,47,64.50,FOS,nil
A0001868E,50,3.5,52,20,59.5,72.70,FASS,no
A0001592R,51,3.5,62,25,68,80.60,SOC,nil
A0000117H,51,3.5,35,9,55,62.00,FOS,nil
A0000135H,45,3.5,30,10,50.5,57.20,FOS,yes
A0000872R,55,3.5,62,22,83,85.10,FOS,no
A0002096R,54,3.5,47,24,57,72.70,FOS,nil
A0001712A,51,2,26,10.5,33,50.65,FOS,no
A0001131M,43,2.5,27,5,24,41.50,SDE,nil
A0000495N,54,3.5,43.5,25,86.5,84.30,SOC,no
A0001555U,51,3.5,33,11,73,69.80,FOS,nil
A0001759H,47,3.5,41,19,67,71.50,,no
A0000261H,50,3.5,27,19,66,69.80,FOS,nil
A0002223H,51,3,38,12,54.5,63.40,FOS,no
A0001028A,50,3,19.5,7.5,44,53.25,SOC,yes
A0001290B,55,3.5,48,21,57,71.40,FOS,nil
A0001661X,50,3.5,19.5,6,27.5,46.40,SDE,yes
A0002095U,23,1.5,,,,13.00,SOC,no
A0001108E,52,3.5,64,18.5,82.5,83.55,,no
A0001185W,50,3,56,25,69,79.30,SOC,nil
A0000913Y,48,4,17,15,42,55.70,FOS,nil
A0000752X,53,3.5,33,7,58,61.80,FOS,nil
A0002201N,48,3,32,15,55,62.90,FOS,nil
A0001703A,54,3.5,63,24,86.5,87.70,SOC,no
A0000673U,50,3.5,31,16,52,63.50,FOS,no
A0000638R,52,2.5,42,18,59,68.50,FOS,nil
A0001755N,50,4.5,43,19.5,42,64.65,SOC,no
A0001734W,50,3.5,30,17.5,53.5,64.65,SOC,no
A0001170H,54,3.5,35,20,54,67.10,FOS,nil
A0001729M,48,2.5,19,8,40,50.30,FOS,nil
A0001452B,50,3,41,12,51,62.60,FOS,yes
A0000013R,50,3,45,25,71,77.90,FOS,nil
A0000445Y,49,4,39,19,53.5,67.20,SOC,no
A0000617X,51,3.5,49,23,52,70.60,FOS,nil
A0001100W,48,4,29,,,33.80,FOS,yes
A0001316A,51,3.5,47,23.5,68,76.85,SOC,no
A0001559L,46,2,15,7,15,37.50,FASS,nil
A0000254A,47,3.5,42,22.5,64,72.25,FOS,no
A0000303M,49,3.5,29,11.5,44.5,57.35,FOS,yes
A0000565U,51,3,30,24,70.5,74.20,FOS,nil
A0000932X,54,4,54,22,57.5,73.80,SOC,nil
A0001168U,50,3.5,42,23,67.5,75.40,FOS,nil
A0000922Y,52,3,41,21,70,74.70,FOS,nil
A0001109A,49,2,34,16.5,52.5,62.55,SOC,no
A0001372Y,43,1,26,2,37,43.50,FOS,nil
A0001969B,57,4.5,59,25,76,84.20,FOS,nil
A0001701H,21,2,15,10,23.5,29.90,FOS,yes
A0001580X,41,3,12,,,25.90,FOS,yes
A0000483W,50,2.5,40,18,49,64.10,FOS,nil
A0001127A,51,3,67.5,30,87.5,91.50,NUSHS,no
A0001257W,52,3.5,34.5,20.5,54.5,67.45,FOS,no
A0000286U,41,3,26,11,76,64.60,FOS,nil
A0001018E,47,3,25.5,7.5,49.5,55.15,FOS,no
A0000736U,53,3.5,36,19,55.5,67.40,FOS,no
A0000269R,50,2.5,46,17,47.5,64.20,SOC,no
A0001768H,54,3.5,39,27,76.5,80.40,FOS,no
A0002196N,50,3,37,20,57,68.20,FOS,nil
A0000397M,50,3.5,25,18,57,65.30,FASS,nil
A0000236A,53,3.5,54,23,78,82.00,FOS,nil
A0002018A,53,3.5,64.5,30,85.5,90.60,SOC,no
A0001542B,51,3,42,17,59,68.50,FOS,nil
A0000476R,46,2.5,62,20,55,69.90,FOS,nil
A0001041M,49,3.5,39,13,61,66.70,FOS,nil
A0001317B,49,3,39,9,58,63.00,FOS,nil
A0001830B,50,3.5,16,,,31.70,FOS,yes
A0001451A,51,3,57,29,71,82.30,FOS,nil
A0000110W,51,3.5,43,14,48,63.30,FASS,nil
A0002004M,49,3.5,22,8,46,54.80,FOS,nil
A0002227Y,54,3,45,28.5,82.5,84.25,LAW,no
A0000005N,30,3,19,,,21.80,FOS,no
A0001520J,55,3.5,59.5,28,89.5,90.20,FOS,no
A0000619U,39,3.5,11,6.5,,28.45,FOS,yes
A0002233E,51,2,38,19,48,63.30,FOS,nil
A0002055B,50,2.5,33,13.5,37,55.65,FOS,no
A0000276W,11,1,,,,6.50,,nil
A0001916R,48,1.5,36,9,37.5,52.20,SOC,yes
A0001434B,52,2,44,18,76.5,75.40,,no
A0001237Y,51,4.5,37.5,18,58.5,69.40,FOS,no
A0001708U,50,3.5,45,25.5,66.5,76.85,FOS,no
A0000477N,51,3,30,24,50.5,66.20,SOC,no
A0001800H,54,3.5,51,25,72.5,80.20,SOC,nil
A0000961U,53,4.5,55.5,11.5,70.5,74.55,FOS,no
A0000850Y,52,3.5,59,21.5,70.5,79.25,,no
A0001171E,53,3,54,24,87,85.60,SOC,no
A0000786J,54,3.5,47,26,70.5,79.10,SOC,nil
A0001869A,47,1,11,5,21,37.60,FASS,nil
A0001667L,51,3,59,27,79.5,85.10,SOC,nil
A0001429U,50,3.5,52,24.5,76.5,81.75,,no
A0001246Y,50,2.5,54,16,67.5,73.30,FOS,no
A0001975H,52,2.5,52.5,16.5,62,71.05,FOS,no
A0001411L,52,3,52,20,77,79.20,FOS,nil
A0001139X,50,3,29,15.5,59.5,65.35,FOS,no
A0001320M,46,3,9,8.5,41.5,48.65,FOS,no
A0001496L,50,3.5,24,11.5,45.5,57.25,SOC,no
A0002108A,40,1,18,6,22.5,36.60,FOS,yes
A0001565R,52,4.5,51,19.5,64,75.05,FOS,no
A0001914W,50,3,51,21,66,75.10,FOS,nil
A0001091A,55,5,46,23,86,85.10,FOS,nil
A0001913X,50,2,49,21,55,69.30,FOS,nil
A0000246B,50,2.5,46,15,46.5,62.80,SOC,no
A0002133H,50,3,68,23.5,72.5,82.35,,no
A0001399H,51,2.5,56,22,61,74.10,FOS,nil
A0000294W,50,4.5,34.5,18,64.5,71.20,FOS,no
A0001350H,56,3,68,29,,56.10,FOS,nil
A0001410M,44,2.5,11.5,5.5,21.5,38.15,FOS,yes
A0001292X,51,3.5,40,21,45,65.00,FOS,nil
A0000122N,52,3.5,23,9,56,60.00,FOS,nil
A0000210U,47,3,43,22,69.5,73.90,FOS,nil
A0001428W,56,4,58,28,89,90.20,FOS,nil
A0001226A,49,3.5,49,13.5,65,70.55,FOS,no
A0001972M,53,4,73,21,84.5,87.90,SOC,no
A0000645W,50,3,40,8,53,61.20,SOC,nil
A0001625X,50,3,46,15,56,67.10,FOS,nil
A0001956J,52,3.5,48,17,78,77.80,FOS,nil
A0001403J,50,2.5,45,,,36.50,BIZ,yes
A0000363B,55,3.5,58,27,71.5,82.20,SOC,nil
A0000112R,48,3,37,5,40.5,53.10,FOS,nil
A0000895H,55,3.5,48,25,70.5,78.80,SOC,no
A0001048Y,49,0,48,12.5,74.5,70.15,SOC,no
A0001669H,52,3,35.5,21,61.5,70.20,SOC,no
A0001015L,54,3.5,48,22,63,74.30,SOC,nil
A0000628U,54,3.5,67,21.5,78,83.85,,no
A0000081H,51,3,50,14.5,60,69.25,SOC,no
A0001377N,51,3.5,53,25,72.5,80.60,FOS,nil
A0001784L,54,3,38,,,35.60,SOC,yes
A0000756N,51,3.5,43,22,64,73.70,SOC,nil
A0000905X,56,3,67,24,76.5,84.00,SOC,nil
A0000450H,54,3.5,53,23,73,79.80,FOS,nil
A0000630H,52,4.5,43.5,25.5,63.5,76.35,FOS,no
A0001090E,34,2,37.5,6,44.5,47.30,FOS,yes
A0002211M,51,3,58,23,60.5,75.30,SOC,no
A0000127E,50,4,40.5,13,43.5,61.00,FOS,no
A0001790R,52,3.5,22,7,42,53.20,FOS,nil
A0000030U,55,4,55,16,59.5,71.80,SOC,no
A0001655R,51,4,49.5,24,70.5,79.10,FOS,no
A0001267U,23,0.5,,,,12.00,FOS,nil
A0002032L,50,2,23,3,,33.10,FASS,yes
A0000258W,51,3,49,11,54,64.90,FOS,nil
A0001690U,50,3,58,18.5,59.5,72.65,FOS,no
A0000356X,51,4.5,60,30,70,84.50,FOS,no
A0000010X,51,4,39,22,68,75.00,FOS,nil
A0000888A,49,3.5,42,18,58,68.60,FOS,nil
A0002193W,50,4,58,19,66,76.50,FOS,no
A0001929J,45,3.5,37,20,69.5,71.20,FOS,nil
A0002150J,53,2.5,73,27,84,89.20,FOS,nil
A0000090H,50,3.5,16,4,28,44.90,FOS,nil
A0000041N,50,3.5,45,10,55.5,64.70,FOS,no
A0001178R,51,3.5,25.5,16.5,50.5,62.05,FOS,no
A0000453B,50,2.5,43.5,21,73.5,76.10,SOC,no
A0000485R,51,3.5,56,23,67,78.00,FASS,nil
A0000584R,43,3.5,28.5,17.5,,39.45,FOS,yes
A0001516Y,44,1.5,31.5,16.5,42,54.85,FOS,no
A0000482X,54,5,47.5,13,59.5,69.80,BIZ,no
A0002159R,50,3.5,54,20,54,70.90,FOS,nil
A0000523E,50,3,63,24.5,72,81.65,FOS,no
A0000499H,52,3,57,24,59.5,75.20,FOS,nil
A0000837N,45,3,17,8,32.5,45.90,FOS,nil
A0001107H,51,2,47,20,74,76.00,FOS,no
A0001278N,50,3,29.5,21,42,61.20,FOS,no
A0001490X,52,3,45,24,68,76.20,FOS,no
A0000959E,56,4,68,21.5,75,83.35,FOS,no
A0001853R,37,2.5,22,6,41,44.80,FOS,nil
A0000748M,56,4.5,28,21,58,68.80,FOS,nil
A0001902B,56,3.5,58,28,72,82.90,FOS,nil
A0001700J,45,3.5,4,3,22,37.10,FOS,nil
A0000086X,50,1,19,4.5,31.5,44.65,SOC,yes
A0000976H,46,2.5,14,20,40,54.30,FOS,nil
A0001152H,50,3.5,15,3,,33.00,FOS,yes
A0001142J,52,3.5,54,18,81,80.70,SOC,no
A0000434A,50,3.5,46.5,28,68,79.00,FOS,no
A0000491X,51,3.5,48,18,70.5,75.30,FOS,no
A0000267W,50,3.5,43,17,70,73.60,FOS,no
A0001006L,48,3.5,36,9,52,60.00,BIZ,nil
A0000843W,45,2.5,24,5,19.5,40.10,FOS,yes
A0002033J,25,2.5,7,2,11,21.80,FOS,nil
A0000804B,50,4,62,16,75,79.40,FOS,no
A0001686J,50,3.5,38,14,47,61.90,SOC,nil
A0001996B,52,3,43,12,72,71.40,FOS,nil
A0000567N,54,3.5,52,27,74,82.00,FOS,nil
A0001664R,53,2,64,28,92,90.60,SOC,nil
A0000257X,51,3,44,26,62,74.60,FOS,nil
A0001461B,52,3.5,49.5,22.5,76,80.05,FOS,no
A0002178N,46,3,37,15,64,66.50,FOS,nil
A0000740A,53,3,52,25,76,81.30,FOS,nil
A0001889Y,51,4,40.5,28,74.5,80.90,SOC,no
A0001169R,49,2.5,44,13.5,70.5,70.75,FOS,no
A0000848L,51,3,15,7,34,48.10,FOS,nil
A0001949E,53,3,61,25,64,78.30,SOC,nil
A0000278R,49,4,28,7,41,54.00,FOS,nil
A0001106J,50,3,55,25,84,85.10,FOS,nil
A0001223J,45,3.5,7.5,,,27.50,FASS,yes
A0001050M,52,2.5,40.5,6,44,56.20,FOS,no
A0001362B,43,2.5,38,14,57,61.40,BIZ,nil
A0001023M,51,3.5,31,11,49,59.80,SOC,nil
A0000043L,47,2.5,26,15,47,57.50,FASS,nil
A0001963M,50,3.5,19,15,47,58.60,FOS,nil
A0000069W,52,4,35.5,21,68,73.80,SOC,no
A0001839J,50,3,12,11.5,21.5,44.75,SOC,yes
A0001752W,53,3.5,60,30,61.5,80.10,FOS,no
A0000237B,51,3.5,30,10,,39.50,FOS,yes
A0000192B,49,3,64,20.5,81.5,83.15,,no
A0000839L,50,4,48,27,67.5,79.10,FOS,no
A0000431J,54,3.5,52,20,87,83.70,SOC,no
A0000251J,49,3,22,5,43,51.60,FOS,nil
A0000234H,49,3,34,21,50,64.80,SOC,no
A0001101U,49,3.5,35.5,21,45.5,63.80,FOS,no
A0000882N,54,3.5,54,23,84,84.40,FASS,nil
A0001974J,52,3.5,42,28,66,77.30,FOS,no
A0001344B,50,3,30,16,48.5,61.40,SOC,no
A0001979Y,50,3,31.5,14.5,52.5,62.55,BIZ,no
A0000564W,52,3.5,30,4,34.5,50.30,FOS,yes
A0001654U,51,4,40.5,22.5,58.5,71.75,FOS,no
A0000213M,47,3.5,33,9,45,56.10,FOS,nil
A0000437X,50,3.5,42,13,54,65.00,FOS,nil
A0001817R,51,4.5,8,3,38,47.80,FOS,nil
A0000071J,50,3.5,49.5,24,62,75.20,FASS,no
A0000648N,48,2,26,10,50,56.20,FASS,nil
A0000917R,50,3.5,21,22.5,45.5,62.15,FOS,no
A0000335A,43,3.5,37,12,42,55.20,FOS,nil
A0000012U,51,3.5,45,25,52,70.80,FOS,no
A0000830A,50,4,36,18,58,68.40,FOS,nil
A0000658M,48,2,36,10,42,55.00,FOS,yes
A0002192X,50,3,36,9,38,54.90,FOS,nil
A0000120U,50,2.5,37,19,71.5,73.00,SOC,nil
A0001529R,51,2.5,29,9,56,60.20,SOC,nil
A0001404H,50,3,38.5,15,68,70.40,FOS,no
A0001640A,53,3.5,54,23,71,79.20,FOS,nil
A0001328X,45,3,9,10,45,50.30,FOS,nil
A0002010U,43,2,26,15,40,52.20,FOS,nil
A0000399J,44,2.5,39,11,54,59.40,FOS,nil
A0000470A,51,3.5,41.5,28.5,68,78.25,SOC,no
A0002167U,50,3.5,33,13,62.5,66.60,SOC,no
A0001733X,47,2,37,16,59,64.50,FOS,nil
A0000627W,51,3.5,55,24,73.5,80.90,FOS,no
A0001422H,57,3.5,72,29,91,93.80,,nil
A0002114J,52,3,36,20,76,75.60,FOS,nil
A0002187N,52,3,59,22.5,74,80.65,SOC,no
A0001644W,51,2.5,,,63,52.70,FOS,nil
A0001240L,50,3,43,11,68,69.30,SOC,no
A0002095U,39,3,37,5.5,,32.65,SOC,no
A0000931Y,52,3.5,60,27,82.5,87.00,FOS,nil
A0001332H,50,3,62,25,83,86.10,FOS,nil
A0000635X,51,3,48,16,50.5,65.80,SOC,no
A0002023L,46,3.5,27,21,54,64.00,FOS,nil
A0001737N,50,2.5,12,,,29.90,FOS,no
