student_num,level,participation,midterm,pe,final,total,faculty,is_afast
A0000038A,49,3,45,21,73,76.20,SOC,nil
A0000568M,51,2.5,18,10,18,43.30,FOS,nil
A0001059W,50,3.5,34,12,53,62.50,FOS,nil
A0000774N,43,3,27,3,46,49.80,FOS,nil
A0000428X,52,3.5,58,24,70,80.10,FOS,nil
A0001784L,25,0.5,8,,,14.60,SOC,nil
A0000124L,49,3.5,48,18,79.5,78.40,SOC,no
A0000459N,47,3.5,43.5,23.5,48,66.65,FOS,no
A0000936N,35,2.5,10.5,1,16,29.00,FOS,no
A0001494N,56,3.5,68,28,96,94.50,FOS,nil
A0000823Y,53,3.5,42,17,78,76.60,FOS,no
A0002131L,51,1.5,47,10,61,65.30,SOC,no
A0002161E,53,3.5,52,19,60,72.40,SOC,nil
A0002214H,50,2.5,35,20,64,70.10,FOS,nil
A0001562X,51,3,54,26.5,70,80.05,SOC,no
A0001739L,52,3.5,28,11,47,58.40,FOS,nil
A0000773R,50,3,39,13,54,63.90,FOS,no
A0000696J,51,3.5,49,21,63.5,74.20,BIZ,nil
A0001144E,47,4.5,16,7,26,45.10,FOS,nil
A0000288N,49,3.5,27,14.5,39.5,56.45,FOS,no
A0002218Y,37,2.5,13.5,9,33.5,41.60,BIZ,no
A0001684M,51,2,56,15,89.5,81.50,SOC,no
A0000354B,52,3.5,29,10,35,53.30,SDE,nil
A0002146Y,50,3,39,25,74,77.90,FOE,nil
A0001258U,50,4,40.5,22,81.5,80.70,FOS,no
A0000503J,25,2.5,,,,15.00,FOS,nil
A0001343A,52,3.5,65,24,75,83.50,FOS,nil
A0000396N,50,2.5,16.5,7,16.5,40.90,FOS,yes
A0002075X,54,3.5,50,27,81,84.40,FOS,nil
A0000967H,46,3,13,4,43,47.80,FOS,nil
A0001577L,49,2.5,7.5,10.5,21.5,42.35,SOC,yes
A0000130R,51,3,33,26.5,64.5,73.65,SOC,no
A0000625Y,50,2.5,57,17,53,68.60,FOS,nil
A0002212L,50,3.5,33,14,54,63.70,SOC,no
A0002204J,50,3.5,40,19.5,76,76.65,SOC,no
A0002225A,53,3,49,26.5,81.5,83.65,,no
A0000631E,53,2.5,47,24,62.5,73.90,FOS,nil
A0000054H,50,3.5,28,5.5,37.5,51.85,FOS,no
A0000513H,52,3,43,22,71,76.00,FOS,nil
A0001584N,51,3.5,45,18.5,76,77.15,FOS,no
A0000544Y,50,4,67,24,85,88.40,FOS,nil
A0001167W,50,3.5,34,7,63.5,64.20,FOS,nil
A0001063E,50,3.5,11.5,6,24.5,43.60,FASS,yes
A0001068W,40,3,12,5.5,44,45.75,FOS,yes
A0000623A,22,0.5,3,7.5,10.5,20.05,FOS,yes
A0000133L,28,3,7,7,34,35.50,FOS,nil
A0000111U,50,3,43,11,32,54.90,SDE,nil
A0002221L,46,3,31,7,28.5,47.10,FOS,no
A0001368N,53,4,50,27,89,88.10,FOS,nil
A0000316E,53,3.5,48,15,56,68.00,FOS,no
A0000903B,36,3,25,23,48.5,56.90,FOS,nil
A0001953N,50,3.5,52.5,28,78.5,84.40,LAW,no
A0001398J,48,4,31,7.5,50,57.95,BIZ,no
A0000247Y,50,3.5,17,13,45,56.40,FOS,nil
A0000716X,45,3.5,26,6.5,36.5,49.05,FOS,no
A0001351E,55,2.5,61,22.5,85,84.95,SOC,no
A0001718R,53,3,21,14,,39.20,FOS,yes
A0000413J,51,2.5,44,21,66.5,73.40,SOC,nil
A0000346Y,50,3,34.5,16,55.5,65.10,SDE,no
A0001469L,49,3.5,39,9,54.5,62.10,FOS,nil
A0000721E,32,2.5,30,1.5,15.5,31.45,FASS,yes
A0000057B,19,2,16,1,,15.20,FOS,nil
A0001038B,50,3,28,9,33,51.30,FOS,nil
A0002100U,48,0.5,43,11,46,57.00,FOS,no
A0000066B,47,3,27,4.5,20,42.15,SDE,no
A0001276U,50,2.5,55.5,30,73.5,83.00,FOS,no
A0000242J,40,1,26,,,26.20,FOS,yes
A0000549N,51,3,62,19.5,76.5,80.75,SOC,no
A0001486M,49,3,33,9,48,57.80,SOC,no
A0000806X,49,2.5,36,11,28,50.90,FOS,no
A0001234E,48,3,35,11,58,62.70,FOS,nil
A0002057X,50,3,33,13,50,61.10,BIZ,nil
A0001560B,53,3,46,23,62,73.50,FASS,nil
A0002109B,48,4,40,21,64,72.10,FOS,nil
A0001289L,50,3,28.5,11.5,40.5,55.65,SOC,yes
A0002152E,50,4,15,4,33,47.20,FOE,nil
A0000548R,49,3.5,29,10,36,53.20,FOS,nil
A0001208A,51,3.5,25,13,62,64.80,FOS,nil
A0001787E,52,2.5,53,20.5,66,74.75,FOS,no
A0000724Y,50,3.5,64,21.5,91,88.45,SOC,no
A0000620J,49,2,51,7,,40.20,,yes
A0002090A,44,2.5,18,1.5,42,45.65,FOS,yes
A0001648M,50,4.5,30,11.5,26.5,51.85,FOS,yes
A0001751X,53,4.5,64,30,79,88.90,FOS,nil
A0001181A,46,1.5,45,19,71,71.40,FOS,nil
A0000370E,50,3.5,34.5,22.5,60,70.65,FOS,no
A0000320N,54,3.5,54,26,80,84.30,BIZ,nil
A0001133J,28,2.5,9,,,18.30,FOS,no
A0001689A,48,3,15,14,30,49.00,FOS,nil
A0000897A,37,3,22.5,9,25.5,40.70,FOS,yes
A0001920B,54,3,47.5,28,74,81.10,SOC,no
A0001909M,52,4,65,21,81,84.90,FOS,no
A0000871U,51,3,47,28,71,79.80,FOE,nil
A0002066X,54,3.5,42,21,65,73.40,FOS,nil
A0002224E,55,4,52.5,30,74,84.10,FOS,no
A0000392X,51,2.5,43,21.5,83,80.05,FOS,no
A0001111R,52,3.5,42,22,63,73.10,FOS,nil
A0002053E,49,3.5,63,20,73,79.80,FOS,nil
A0002208B,50,3,43,15,60,68.10,FOS,nil
A0001417Y,52,3.5,44,18,62.5,71.30,SOC,nil
A0000585N,50,3,45,19.5,72.5,75.75,FOS,no
A0002107E,48,2.5,31,17,62,66.00,FOS,nil
A0001665N,30,0,25,,,20.00,FOS,yes
A0000666N,53,3.5,63,26,84,87.70,FOS,nil
A0000161J,50,3.5,43,16,64,70.70,SOC,no
A0001715X,45,3.5,39,18,46,61.20,FOS,no
A0000353A,51,3.5,33,6,41,54.50,SOC,nil
A0001596J,53,3,55,23,62,75.30,SOC,nil
A0001439R,51,3.5,42,15.5,61,69.05,SOC,no
