video_id,channel_title,views,likes
wGQtrwey-TI,Strictly Dumpling,622951,13260
_GC5AVsf528,NBTVEVO,92783,6491
BRzPaDMeRks,UrAvgConsumer,352284,13099
C3cwtcomilA,Kevin The Tech Ninja,8692,340
jehAZhrI7oA,Jeremy Jahns,788310,17141
tCu0tKrzhc,ESPN,113400,1049
qPDZZj6By3Y,BBC Earth,163404,3337
J_e77K4n6Ts,Tasty,352119,12880
7nh2Ra-5kY8,US Open Tennis Championships,119124,742
0tOUQt5fem0,mayhugh1,7009,45
zJufeAMRHy8,Synthetik Films,92656,895
UpONjs5kLPc,Futbol La Pasion,53712,203
AHrCI9eSJGQ,JeffHK,763632,51890
4LwpGaDKmZ8,jeffreestar,5044462,183483
f5F2whaRzqw,Kerry Wong,2874,104
Alp_a88C8dY,CineFix,1307902,19734
MmAL1EOkLUo,DarthLucifer08,19431,87
5kZi3J2S52E,NurdRage,229636,7897
a6sywFdvURE,CBS This Morning,171000,454
WAwRqecvMSY,Simply Nailogical,1812471,133824
uAipi4V5g34,Robert Jones,11830,200
pAsN4lSa7O0,Blake Shelton,1851893,24779
9e6WeQeBjOI,Caters Clips,4801,28
xtDJ6uEyvnw,Cole Truax,55214,258
frv64BFwGFY,Kmart,116337,17
8QgMh02JvS8,Austin Evans,387873,12099
fQxLlq7lxVM,Shameless Maya,406327,20499
T2W7UocH0Hs,Life Where I'm From,108653,3606
zPGRU49esCU,Brothers Green Eats,77640,2223
ykvX-E1nuag,vlogbrothers,173773,9188
8fH_PAi6Yf4,Ms Deb Deb,1106140,38670
WCKJPn1UcXc,One America Appeal,952945,17703
TDskW3JvTAY,How Ridiculous,277903,13343
pwHvK07tUuw,Peter Hollens,700036,49257
U2CqZNd6rgM,Brave Wilderness,2384595,50009
7Ag2oDIeLvo,OsbornTramain,1712,15
UR9k1Pjx5eg,Texas A&M Athletics,13794,40
bF5sIEuv83k,KaneBrownVEVO,834567,20322
CayHgjP1YNQ,Matthijs Vlot,443606,4231
FTIStPerVNw,The Late Show with Stephen Colbert,1493731,23472
AX8-YzMKZhQ,SamSmithWorldVEVO,13728070,468636
REyxoxScrbU,CalvinHarrisVEVO,4850078,146460
c3pFWJCQy5E,Courtelizz1,108839,3677
eJB1gcydsbU,AnthonyPadilla,614717,49443
AR4UgRJOUQY,AsapSCIENCE,1244953,29748
DGlYMJRwevI,Aaron Esser,1862718,21516
PGfSaVDymjk,GEazyMusicVEVO,2114219,77679
a2B9pA8aGUc,Big Ten Network,11533,51
4Ltc4HO3NIE,stere0123,109422,200
A-fofQ9VpPQ,Netflix,349856,4403
pCSgWJzEvrM,Anna Akana,447037,25068
bnON1y-fKag,Chris Stuckmann,226012,9353
VCVjbrt30tY,FifthHarmonyVEVO,3998451,291383
2caEL5ATPX4,Concert Daily,82199,1194
Ie50Nw9NkOk,Complex News,41962,1445
tt2k8PGm-TI,ZaynVEVO,36323498,1431683
mGqR9sgMIyA,Fox News,25652,73
D1KpuWg2hc0,RAW,7563,344
qh7QJ_jLam0,Green Day,845694,64515
XovZ04gmQgE,Hailee Steinfeld,316616,10084
Zy6vBxqlapw,Kelly Clarkson,3027926,76505
VEoITVHfyGg,SuperCarlinBrothers,463409,19286
XwW6ZWaQ4bs,WKRG,4761358,50802
Lv5DFKceFac,ThomasRhettVEVO,376381,8909
4v38ugGj3u0,Deadline Hollywood,30851,261
dA5qYrboTUE,PTZtv,13752002,46101
H_A0Z4S30Ds,AvengedSevenfoldVEVO,433708,24188
ton42cZ6ZYU,IISuperwomanII,2465146,179085
ZXvbz8cqafM,AT&T,836472,19314
lBspB4K-F-c,Madeyewlook,599780,29851
mTnRc4pVu4w,LecraeVEVO,106186,4695
xo2B67vz4HA,Linus Tech Tips,626600,20553
rAh_16nooZA,Amber Scholl,384682,21302
PPg1gN_ey2o,Mr. Kate,2451184,176110
k0WRpQU9zK0,R3HAB,480279,26662
-1fzGnFwz9M,Simon's Cat,189414,7070
ezgtjMfgxos,TIME,103666,196
fM8yID63CSA,TIFF,74494,2218
CYoRmfI0LUc,Alexis Ohanian,1110865,11255
cNgT8qEQJ3w,Norm Krumpe,235562,1801
scIizw2asro,Team Coco,1798895,26425
K4wEI5zhHB0,Apple,12200526,258842
XpVt6Z1Gjjo,Logan Paul Vlogs,5457497,349857
WYYvHb03Eog,The Verge,3654879,30836
xHvVhhFvLtY,Brave Wilderness,1398322,35880
F4ELqraXx-U,LanaDelReyVEVO,1568852,174771
bvomHFZO0mk,Disney•Pixar,558820,4847
9YyB6sQ4iwA,iJustine,761705,32608
cLdxuaxaQwc,PewDiePie,6997601,626155
0eKdNcP4xrM,Bad Lip Reading,504827,29220
QQVWMp_xgGg,Comedy Central,580441,2520
sjlHnJvXdQs,jacksfilms,2084309,128402
l864IBj7cgw,The Tonight Show Starring Jimmy Fallon,909358,14539
8wNr-NQImFg,Late Night with Seth Meyers,1119034,12843
_HTXMhKWqnA,Marques Brownlee,3087549,93812
YSVlSmZWzm0,Vox,380266,11558
cOboLQMO4tQ,TP Clips 8,83219,157
cMKX2tE5Luk,A24,1673317,40496
4MkC65emkG4,MTV,393968,10053
vu_9muoxT50,America's Got Talent,990274,22897
TdH_NL35Nbw,The CW Television Network,86119,1835
Ifnaxi2LQg,FergieVEVO,1668188,88182
CsdzflTXBVQ,Awkward Puppets,705475,34506
eERPlIdPJtI,boogie2988,515740,37881
R6ja9qNmOaM,ESPN,367178,5296
1L7JFN7tQLs,Jonathan Morrison,751902,22556
zgLtEob6X-Q,Screen Junkies,1341911,33111
